"","id","tvalue","pvalue","correlation","band","task","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"146","voc_FC6_closed_ForgettingRate_Theta",-0.280182078562384,0.780541808583117,-0.0404077705076388,"Theta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"147","voc_F7_closed_ForgettingRate_Theta",0.2000215863485,0.842308726437598,0.0288586046712497,"Theta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"148","voc_F8_closed_ForgettingRate_Theta",-0.130266995715364,0.896899595389827,-0.018799098521869,"Theta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"149","voc_T7_closed_ForgettingRate_Theta",-0.726023010784495,0.471350117973576,-0.104221705133203,"Theta","Vocabulary",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"150","voc_T8_closed_ForgettingRate_Theta",0.28216847069355,0.779027437202508,0.0406937746170078,"Theta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"151","voc_O1_closed_ForgettingRate_Theta",0.392078131648692,0.696735978969897,0.0565012003927607,"Theta","Vocabulary",1,0.908364761569152,1,0.997120948748304,0.997120948748304,1
"152","voc_O2_closed_ForgettingRate_Theta",0.531581745696326,0.597467396391801,0.0765023592379757,"Theta","Vocabulary",1,0.869043485660802,1,0.997120948748304,0.997120948748304,1
"153","loc_AF3_closed_ForgettingRate_Theta",0.497727789352894,0.620948581539491,0.071656143889975,"Theta","Location",1,0.880955678840154,1,0.997120948748304,0.997120948748304,1
"154","loc_AF4_closed_ForgettingRate_Theta",0.549807673029527,0.585000609929163,0.0791091909167916,"Theta","Location",1,0.862106162000872,1,0.997120948748304,0.997120948748304,1
"155","loc_F3_closed_ForgettingRate_Theta",0.49984119169234,0.619470650550873,0.0719588309332687,"Theta","Location",1,0.880955678840154,1,0.997120948748304,0.997120948748304,1
"156","loc_F4_closed_ForgettingRate_Theta",0.849555117364975,0.399790002588756,0.121711088910621,"Theta","Location",1,0.840114536800187,1,0.997120948748304,0.997120948748304,1
"157","loc_FC5_closed_ForgettingRate_Theta",0.170345055156121,0.865454767644742,0.0245797623835742,"Theta","Location",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"158","loc_FC6_closed_ForgettingRate_Theta",0.741181786930913,0.462194090201262,0.106373396629012,"Theta","Location",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"159","loc_F7_closed_ForgettingRate_Theta",0.602495410715746,0.549680329616618,0.08663574684714,"Theta","Location",1,0.856424811967041,1,0.997120948748304,0.997120948748304,1
"160","loc_F8_closed_ForgettingRate_Theta",1.02817921163275,0.309019016660349,0.146797159025648,"Theta","Location",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
"161","loc_T7_closed_ForgettingRate_Theta",-1.03355443224997,0.30652397674376,-0.147547935259808,"Theta","Location",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
